id,classificacao_da_ocorrencia,dt_da_ocorrencia,municipio,uf,regiao,fabricante,modelo
41512,Incidente,2023-12-27,GUARULHOS,SP,Sudeste,BOEING COMPANY,737-8EH
41515,Incidente,2023-12-16,FLORIANÓPOLIS,SC,Sul,EMBRAER,ERJ 190-200 LR
27823,Incidente,2021-03-29,PORTO ALEGRE,RS,Sul,EMBRAER,ERJ 190-200 LR
28083,Acidente,2021-05-07,PONTA PORÃ,PR,Sul,NEIVA,EMB-201A
28083,Acidente,2021-05-07,PONTA PORÃ,PR,Sul,NEIVA,EMB-201A
31570,Incidente,2022-03-10,PORTO BELO,SC,Sul,PIPER AIRCRAFT,PA-34-220T
30163,Incidente,2021-11-04,BRASÍLIA,DF,Centro-Oeste,YABORA INDUSTRIA AERONAUTICA S.A,ERJ 190-400
31216,Incidente,2022-01-29,BELÉM,PA,Norte,AIRBUS S.A.S.,A320-251N
31566,Incidente,2022-03-07,MANAUS,AM,Norte,BOEING COMPANY,737-45D
31568,Incidente,2022-03-10,RIBEIRÃO PRETO,SP,Sudeste,CESSNA AIRCRAFT,T210N
31569,Incidente,2022-03-10,JUNDIAÍ,SP,Sudeste,BEECH AIRCRAFT,58
31571,Incidente,2022-03-10,PORTO BELO,SC,Sul,TWIN COMMANDER,500-S
32428,Incidente,2022-06-08,BRASÍLIA,DF,Centro-Oeste,EMBRAER,EMB-820C CARAJA
37139,Ocorrência Anormal,2023-04-15,BELO HORIZONTE,MG,Sudeste,NEIVA,EMB-721D
34087,Incidente,2022-09-05,"MONTES CLAROS,",MG,Sudeste,NEIVA,EMB-712
34087,Incidente,2022-09-05,"MONTES CLAROS,",MG,Sudeste,NEIVA,EMB-712
37290,Incidente,2023-05-15,NAVEGANTES ,SC,Sul,BEECH AIRCRAFT,E90
39052,Incidente,2023-04-20,FORTALEZA,CE,Nordeste,BOEING COMPANY,737-8 MAX
40314,Incidente,2023-10-26,CONFINS ,MG,Sudeste,ATR - GIE AVIONS DE TRANSPORT RÉGIONAL,ATR-72-212A (600)
41055,Incidente,2023-10-26,CONFINS ,MG,Sudeste,BOEING COMPANY,737-8EH
41056,Incidente,2023-10-26,	PORTO ALEGRE,RS,Sul,BOEING COMPANY,737-8 MAX
41452,Incidente,2023-12-21,GUARULHOS,SP,Sudeste,EMBRAER,ERJ 190-200 LR
32586,Incidente,2022-06-20,CAMPINAS,SP,Sudeste,EMBRAER,ERJ 190-200 LR
32530,Incidente,2022-06-25,BRASÍLIA,DF,Centro-Oeste,BOEING COMPANY,777-32WER
33146,Incidente,2022-07-22,RIO DE JANEIRO,RJ,Sudeste,BOEING COMPANY,727-2M7
33426,Incidente,2022-08-06,RONDONÓPOLIS,MT,Centro-Oeste,BEECH AIRCRAFT,B90
